,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,110,14,0.004762544995173812,7,20,2.85714
0,aleat,110,15,0.004633860022295266,6,20,3.33333
0,aleat,110,16,0.004826859978493303,6,24,4.0
0,aleat,110,17,0.004515286011155695,6,24,4.0
0,aleat,110,18,0.004885918984655291,8,25,3.125
0,aleat,110,19,0.004787173995282501,5,18,3.6
0,aleat,110,20,0.004693917988333851,7,24,3.42857
0,aleat,115,1,0.004461978038307279,1,2,2.0
0,aleat,115,2,0.004354711971245706,3,11,3.66667
0,aleat,115,3,0.004693881026469171,7,19,2.71429
0,aleat,115,4,0.00438816100358963,7,25,3.57143
0,aleat,115,5,0.004737629962619394,7,21,3.0
0,aleat,115,6,0.00455056200735271,7,19,2.71429
0,aleat,115,7,0.004608520015608519,8,22,2.75
0,aleat,115,8,0.004755829984787852,6,25,4.16667
0,aleat,115,9,0.004497014975640923,7,23,3.28571
0,aleat,115,10,0.004820530011784285,8,28,3.5
0,aleat,115,11,0.004399468016345054,6,24,4.0
0,aleat,115,12,0.004747680039145052,7,24,3.42857
0,aleat,115,13,0.0045208780211396515,8,23,2.875
0,aleat,115,14,0.00472633697791025,8,25,3.125
0,aleat,115,15,0.004547940043266863,8,26,3.25
0,aleat,115,16,0.00458958197850734,8,22,2.75
0,aleat,115,17,0.00458651699591428,6,20,3.33333
0,aleat,115,18,0.004493281012400985,8,24,3.0
0,aleat,115,19,0.004521500028204173,6,20,3.33333
0,aleat,115,20,0.0045571139780804515,6,19,3.16667
0,aleat,120,1,0.004355248995125294,1,3,3.0
0,aleat,120,2,0.004493717977311462,3,9,3.0
0,aleat,120,3,0.004780690011102706,6,19,3.16667
0,aleat,120,4,0.004963598970789462,7,22,3.14286
0,aleat,120,5,0.005518533987924457,7,25,3.57143
0,aleat,120,6,0.005016156006604433,7,23,3.28571
0,aleat,120,7,0.00500259903492406,7,22,3.14286
0,aleat,120,8,0.004528657998889685,7,24,3.42857
0,aleat,120,9,0.0048350750003010035,7,21,3.0
0,aleat,120,10,0.004524245043285191,7,19,2.71429
0,aleat,120,11,0.00464298902079463,6,24,4.0
0,aleat,120,12,0.004534193954896182,6,26,4.33333
0,aleat,120,13,0.004795887973159552,7,23,3.28571
0,aleat,120,14,0.0047762999893166125,7,23,3.28571
0,aleat,120,15,0.0045311059802770615,7,21,3.0
0,aleat,120,16,0.00478057301370427,8,22,2.75
0,aleat,120,17,0.006080423016101122,8,25,3.125
0,aleat,120,18,0.0056722110020928085,8,21,2.625
